Titulo,Codigo_respuesta,Links,Imagenes
¡Atención! Aplazan el Carnaval de Barranquilla 2021 por covid-19,1,265,20
Una ciudad marcada por las marchas en tiempos de covid-19,1,264,23
"
Así fue como Colombia dejó de producir vacunas
",1,165,0
La pandemia elevó el tiempo para arrendar y vender una vivienda,1,263,20
El covid-19 sobrevive en la piel hasta nueve horas,1,261,23
¿Ha funcionado en Colombia el aislamiento selectivo?,1,265,23
EE. UU. iniciaría vacunación contra covid-19 a principios de diciembre,1,255,20
Anticuerpos que se generan por el Sars-CoV-2 caerían ‘muy rápidamente’,1,263,22
"
Estudio explicaría por qué las mujeres enfrentan mejor la covid-19
",1,164,0
"
Hallan característica del covid que abre puerta a nuevos tratamientos
",1,164,0
"
Jorge Rausch dio positivo por covid-19 y contó cómo se siente
",1,163,0
Investigan graves efectos cognitivos en pacientes con covid-19,1,267,22
"
Quito, al borde de un colapso del sistema de salud por covid-19
",1,164,0
"
Voluntarios de vacuna rusa habrían creado inmunidad a la covid-19
",1,176,0
"
Lanzan propuesta de ver conciertos desde vehículos en Salitre Mágico
",1,165,0
Plata del Fome puede usarse para investigaciones de vacuna de covid-19,1,269,20
"
Holanda y Bélgica registran también casos de reinfección por covid-19
",1,166,0
Así pintará la belleza post covid-19,1,264,19
"
Voluntarios de vacuna rusa habrían creado inmunidad a la covid-19
",1,176,0
Probar vacuna contra covid-19 en ancianos y minorías raciales es clave,1,266,22
Reportan muerte de voluntario brasileño de vacuna de Oxford para covid,1,256,22
Crece temor en EE. UU. después de récord de contagios,1,274,25
Dengue le compite al covid-19 y causa más de una alarma en el Valle,1,273,22
"
Habrá toque de queda y plan candado en Funza por subida de casos covid
",1,162,0
"
Primeros 10 millones de vacunas covid serán para población de riesgo
",1,165,0
Covid-19: China prueba vacuna en 60.000 personas sin efectos adversos,1,267,22
"
Murió por covid-19 hombre que llegó en vuelo desde Bogotá a Cartagena
",1,162,0
Denuncian abandono y crisis en San Andrés por la pandemia,1,280,27
"
Estas son las profesiones que están en riesgo tras el coronavirus
",1,168,0
Voluntario cuenta qué se siente que prueben vacuna de covid-19 en él,1,295,24
"Día negro para dólar, bolsas y petróleo por rebrotes de covid-19",1,267,22
Coronavirus: ¿Inmunidad a la vista?,1,267,23
Tamizajes y controles de covid-19 van a unidades residenciales en Cali,1,273,22
"
Qué se puede hacer y qué no en esta nueva realidad en Bogotá
",1,167,0
¿Cómo se afecta su vida amorosa por el coronavirus?,1,269,22
Meten acelerador a proyecto que permite acceso gratuito a vacuna covid,1,258,16
"
Termina la cuarentena estricta para cinco localidades de Bogotá
",1,161,0
